"hour","total_trips"
"15","4655"
"14","4448"
"16","4343"
"13","4118"
"17","3976"
"18","3480"
"12","3327"
"9","2938"
"7","2894"
"11","2889"
"8","2882"
"6","2708"
"10","2694"
"5","2466"
"19","2248"
"4","1207"
"20","1139"
"21","703"
"22","529"
"23","444"
"0","294"
"3","292"
"1","128"
"2","88"
