pickup_zone,total_trips,total_revenue,average_fare_amount
JFK Airport,124659,9327155.85,57.8675571759760627
LaGuardia Airport,76503,5215113.18,43.4485673764427539
Newark Airport,407,40803.94,86.9091646191646192
