"total_revenue","zone"
"9327155.85","JFK Airport"
"5215113.18","LaGuardia Airport"
"3718407.41","Midtown Center"
"3209123.84","Upper East Side South"
"3169143.89","Upper East Side North"
"2708574.10","Times Sq/Theatre District"
"2621055.74","Penn Station/Madison Sq West"
"2607438.86","Midtown East"
"2501769.91","East Village"
"2433958.42","East Chelsea"
